REC_ART;ONRP;BFSNR;PLZ_TYP;POSTLEITZAHL;PLZ_ZZ;GPLZ;ORTBEZ18;ORTBEZ27;KANTON;SPRACHCODE;SPRACHCODE_ ABW;BRIEFZ_DURCH;GILT_AB_DAT;PLZ_BRIEFZUST;PLZ_COFF;Geo Shape;Geokoordinaten
1;5837;5422;20;1174;2;1174;Pizy;Pizy;VD;2;;299;1989-06-01;117000;J;;
1;5840;5451;20;1580;2;1580;Oleyres;Oleyres;VD;2;;7660;1999-10-21;158060;J;;
1;5844;5541;20;1376;2;1376;Eclagnens;Eclagnens;VD;2;;7670;1989-06-01;104060;J;;
1;5845;5541;20;1376;3;1376;Goumoens-le-Jux;Goumoens-le-Jux;VD;2;;7670;1989-06-01;104060;J;;
1;5849;5563;20;1428;2;1428;Mutrux;Mutrux;VD;2;;658;1989-06-01;144500;J;;
1;5853;5628;20;1134;2;1134;Chigny;Chigny;VD;2;;6256;1989-06-01;111060;J;;
1;5859;5684;20;1513;2;1513;Rossenges;Rossenges;VD;2;;7661;1996-09-27;151060;J;;
1;5860;5675;20;1683;3;1683;Sarzens;Sarzens;VD;2;;7663;1989-09-27;168060;J;;
1;5861;5701;20;1277;1;1277;Arnex-sur-Nyon;Arnex-sur-Nyon;VD;2;;484;1996-08-06;127600;J;;
1;5862;5705;20;1279;2;1279;Bogis-Bossey;Bogis-Bossey;VD;2;;523;1995-03-07;129700;J;;
1;5870;5831;20;1682;5;1682;Cerniaz VD;Cerniaz VD;VD;2;;7663;1996-09-04;168060;J;;
1;5877;5912;20;1415;2;1415;Démoret;Démoret;VD;2;;6257;1989-06-01;140060;J;;
1;5879;5905;20;1443;3;1443;Villars-Champvent;Villars-sous-Champvent;VD;2;;658;1989-06-01;144500;J;;
1;5880;5913;20;1407;2;1407;Gossens;Gossens;VD;2;;6257;1989-06-01;140060;J;;
1;5883;5923;20;1047;0;1047;Oppens;Oppens;VD;2;;183;1993-05-18;103800;J;;
1;5884;5932;20;1412;2;1412;Ursins;Ursins;VD;2;;6257;1989-06-01;140060;J;;
1;5887;6487;20;2063;2;2063;Engollon;Engollon;NE;2;;1311;1996-09-10;205200;J;;
1;5893;98;20;8165;3;8165;Schleinikon;Schleinikon;ZH;1;;4539;1997-03-19;816500;J;;
1;5895;304;20;3283;2;3283;Niederried b. Kall;Niederried b. Kallnach;BE;1;;7673;1989-06-01;321060;J;;
1;5897;389;20;3294;2;3294;Meienried;Meienried;BE;1;;7674;1989-06-01;329460;J;;
1;5899;410;20;3429;2;3429;Höchstetten;Höchstetten;BE;1;;2049;1989-06-01;347200;J;;
1;5902;421;20;3472;2;3472;Rumendingen;Rumendingen;BE;1;;2049;1999-09-22;347200;J;;
1;5904;423;20;3425;2;3425;Willadingen;Willadingen;BE;1;;2049;1999-10-21;347200;J;;
1;5905;493;20;2577;2;2577;Finsterhennen;Finsterhennen;BE;1;;1477;1989-06-01;257500;J;;
1;5907;310;20;3256;2;3256;Bangerten;Bangerten b. Dieterswil;BE;1;;1762;1989-06-01;305400;J;;
1;5909;536;20;3053;3;3053;Diemerswil;Diemerswil;BE;1;;7321;1998-07-23;305360;J;;
1;5912;540;20;3305;2;3305;Scheunen;Scheunen;BE;1;;1960;1989-06-01;332400;J;;
1;5913;553;20;3053;4;3053;Wiggiswil;Wiggiswil;BE;1;;7321;1999-07-21;305360;J;;
1;5914;538;20;3309;2;3309;Zauggenried;Zauggenried;BE;1;;1949;1989-06-01;331200;J;;
1;5917;610;20;3671;2;3671;Herbligen;Herbligen;BE;1;;2071;1995-06-08;367200;J;;
